datasetID,forestRemnantID,decimalLatitude,decimalLongitude,forestRemnantAreaInHectares,distanceFromMainlandInMeters,richnessAll,richnessForest
Luypaert2022,44_21,-1.39329,-59.76564,35.87,5082.21,13,13
Luypaert2022,37_9,-1.51042,-59.79091,35.6,6959.13,12,11
Luypaert2022,Neto,-1.84167,-59.35206,32.87,564.33,2,2
Luypaert2022,37_028,-1.77863,-59.38195,32.78,1582.94,10,9
Luypaert2022,33_793,-1.53047,-59.7877,29.62,8900.24,11,6
Luypaert2022,54_544_B,-1.85262,-59.36253,22.01,131.94,8,8
Luypaert2022,Palhal,-1.79071,-59.44785,21.37,3432.44,7,7
Luypaert2022,54_544_A,-1.85419,-59.36694,17.66,280.46,9,9
Luypaert2022,17_697,-1.44519,-59.8948,17.57,109.83,9,8
Luypaert2022,Coata,-1.48819,-59.7872,16.94,6460.82,14,14
Luypaert2022,Abusado,-1.76217,-59.67862,13.31,4785.88,4,4
Luypaert2022,14_7,-1.5037,-59.81908,13.22,4773.47,15,13
Luypaert2022,Piquia,-1.50662,-59.78885,13.04,7444.95,9,9
Luypaert2022,12_9,-1.5057,-59.79838,11.96,6564.49,8,8
Luypaert2022,Garrafa,-1.58863,-59.83535,9.42,9315.62,6,5
Luypaert2022,10_626,-1.75309,-59.39003,8.78,113.45,11,9
Luypaert2022,12_28,-1.85177,-59.4038,8.42,2339.76,6,6
Luypaert2022,8_672,-1.3854,-59.81981,8.15,391.32,3,3
Luypaert2022,Abandonada_left,-1.39418,-59.78186,8.15,3430.04,6,3
Luypaert2022,Arrepiado,-1.51483,-59.73933,7.43,12527.32,9,8
Luypaert2022,8_042,-1.54737,-59.85917,6.88,4940.93,5,4
Luypaert2022,Jiquitaia,-1.83569,-59.59577,6.79,472.62,4,2
Luypaert2022,10_709,-1.80791,-59.46624,5.43,4972.06,6,3
Luypaert2022,Pe_Torto,-1.76671,-59.36338,4.98,228.99,7,5
Luypaert2022,7_335,-1.8555,-59.4506,4.17,2808.41,8,5
Luypaert2022,Torem,-1.82943,-59.63267,3.62,1399.76,2,1
Luypaert2022,11_497,-1.81756,-59.48498,3.53,5191.9,5,2
Luypaert2022,5_708,-1.57007,-59.71667,3.53,13902.21,6,2
Luypaert2022,Panema,-1.7745,-59.69236,3.08,2882.1,2,1
Luypaert2022,Cafundo,-1.50063,-59.61043,2.63,1931.98,11,11
Luypaert2022,4_746,-1.54811,-59.73888,2.26,14828.26,7,2
Luypaert2022,3_592,-1.56818,-59.69274,2.08,11345.96,6,2
Luypaert2022,Aline,-1.54838,-59.75128,2.08,13690.84,6,3
Luypaert2022,Andre,-1.58462,-59.87211,2.08,7460.39,3,1
Luypaert2022,3_207,-1.72327,-59.48347,1.99,114.15,6,4
Luypaert2022,15_188,-1.55566,-59.72653,1.81,14660.84,6,3
Luypaert2022,Formiga,-1.83339,-59.42093,1.54,4830.81,3,2
Luypaert2022,2_87,-1.7457,-59.40742,1.45,108.41,3,1
Luypaert2022,3_311,-1.87406,-59.41093,1.36,442.59,5,4
Luypaert2022,Louzivaldo,-1.84696,-59.44032,1.27,3557.69,3,1
Luypaert2022,2_794,-1.86325,-59.39397,0.91,1030.1,3,2
