"datasetID","forestRemnantID","decimalLatitude","decimalLongitude","forestRemnantAreaInHectares","matrixType","timeSinceIsolationInYears","firstYearSurvey"
"Boesing2018SP","282b",-23.031375,-46.49008,13.87,"terrestrial",NA,2014
"Boesing2018SP","282c",-23.040601,-46.495779,6.33,"terrestrial",NA,2014
"Boesing2018SP","282d",-23.021367,-46.48933,4.2,"terrestrial",NA,2014
"Boesing2018SP","291a",-23.076062,-46.166196,122.27,"terrestrial",NA,2014
"Boesing2018SP","291b",-23.062984,-46.169567,11.57,"terrestrial",NA,2014
"Boesing2018SP","291c",-23.053508,-46.167774,851.88,"terrestrial",NA,2014
"Boesing2018SP","291d",-23.067822,-46.15985,122.27,"terrestrial",NA,2014
"Boesing2018SP","317a",-23.005108,-46.031863,137.89,"terrestrial",NA,2014
"Boesing2018SP","317b",-22.990606,-46.026801,547.9,"terrestrial",NA,2014
"Boesing2018SP","317c",-22.988328,-46.018391,547.9,"terrestrial",NA,2014
"Boesing2018SP","317d",-22.990172,-46.054657,536.04,"terrestrial",NA,2014
"Boesing2018SP","329a",-22.946193,-46.447086,1.83,"terrestrial",NA,2014
"Boesing2018SP","329b",-22.946142,-46.475158,28.83,"terrestrial",NA,2014
"Boesing2018SP","329c",-22.960502,-46.477117,31.4,"terrestrial",NA,2014
"Boesing2018SP","329d",-22.945779,-46.465213,60.89,"terrestrial",NA,2014
"Boesing2018SP","333a",-22.957719,-46.279791,25.44,"terrestrial",NA,2014
"Boesing2018SP","333b",-22.945271,-46.297618,4.52,"terrestrial",NA,2014
"Boesing2018SP","333c",-22.956441,-46.302927,6.92,"terrestrial",NA,2014
"Boesing2018SP","333d",-22.963179,-46.291347,29.88,"terrestrial",NA,2014
"Boesing2018SP","335a",-22.944558,-46.212034,40.9,"terrestrial",NA,2014
"Boesing2018SP","335b",-22.969748,-46.224283,236.75,"terrestrial",NA,2014
"Boesing2018SP","335c",-22.964952,-46.208903,2.17,"terrestrial",NA,2014
